Author	Id	Content	Created_at	Edited_at	Mentions
Bluey The Bear	724997320260976672	<@&720604360756822117>s cast your Day 1 votes below. >8 needed for a majority. |newline|  |newline| Current <sacrifice655946392082186302> Votes: |newline| <sacrifice655946392082186302> **Caetra**: Jerrydot |newline| <sacrifice655946392082186302> **Ravenshard**: catoftheyear |newline| <sacrifice655946392082186302> **mikaelsson**: Fircoal, DDL |newline| <sacrifice655946392082186302> **Anders**: pqr |newline| <sacrifice655946392082186302> **Donkey-Dude**: Sharur |newline| <sacrifice655946392082186302> **Will((ow)|(iam))**: Emmi |newline| <sacrifice655946392082186302> **Emmi**: Anders |newline| <sacrifice655946392082186302> **Rozyroz**: Ravenshard, mikaelsson, eh1414, Donkey-Dude |newline| **Has Not Voted**: Will((ow)|(iam)), Bazkitcase5, Rozyroz, Caetra |newline|  |newline| Current Governor Votes: |newline| 🗳️ **Fircoal**: Caetra |newline| 🗳️ **pqr**: Ravenshard, mikaelsson, pqr, Rozyroz, bazkitcase5, catoftheyear, DDL, Jerrydot, Anders |newline| 🗳️ **Ravenshard**: Donkey-Dude |newline| 🗳️ **Will((ow)|(iam))**: Will((ow)|(iam)) |newline| **Has Not Voted**: Fircoal, eh1414, Emmi, Sharur	2020-06-23 14:40:30.949000	2020-06-24 22:09:19.376000	
Caetra	724997851779694632	~~<sacrifice655946392082186302> mikaelsson~~	2020-06-23 14:42:37.673000	2020-06-23 19:36:54.474000	
Caetra	724997910126657577	🗳️ fircoal	2020-06-23 14:42:51.584000	None	
Ravenshard	724997974371074069	🗳️  pqr	2020-06-23 14:43:06.901000	None	
Ravenshard	724998084366565477	<sacrifice655946392082186302>  ~~Jerry~~	2020-06-23 14:43:33.126000	2020-06-24 22:24:46.187000	
Jerry	724998317108625480	🗳️ ~~pqr~~	2020-06-23 14:44:28.616000	2020-06-24 09:08:42.678000	
Jerry	724998351233220678	<sacrifice655946392082186302> ~~Caetra~~	2020-06-23 14:44:36.752000	2020-06-24 09:08:50.546000	
Donkey-Dude	724998760068939937	🗳️ ravenshard	2020-06-23 14:46:14.226000	None	
Donkey-Dude	724998825802203199	<sacrifice655946392082186302> catoftheyear	2020-06-23 14:46:29.898000	2020-06-24 19:56:51.847000	
Bluey The Bear	725000707362783323		2020-06-23 14:53:58.497000	None	
DDL	725004706983968829	🗳️ ~~catoftheyear~~	2020-06-23 15:09:52.081000	2020-06-24 01:38:38.772000	
DDL	725024373290958980	<sacrifice655946392082186302> ~~Jerry~~	2020-06-23 16:28:00.894000	2020-06-24 16:14:18.779000	
conjugate	725025323674107925	<sacrifice655946392082186302> ~~Ravenshard~~	2020-06-23 16:31:47.483000	2020-06-24 22:12:03.424000	
mikaelsson	725029502434148452	🗳️ pqr	2020-06-23 16:48:23.777000	None	
pqr	725038564349444128	🗳️ pqr	2020-06-23 17:24:24.306000	None	
conjugate	725039581870686239	🗳️ ~~Will((ow)(iam))~~	2020-06-23 17:28:26.902000	2020-06-23 23:29:50.762000	
Will((ow)|(iam))	725040526981595206	🗳️ Will((ow)(iam))	2020-06-23 17:32:12.234000	None	
Rozyroz	725049057143160912	🗳️ pqr	2020-06-23 18:06:05.983000	None	
Caetra	725072007451902072	~~<sacrifice655946392082186302> will~~	2020-06-23 19:37:17.763000	2020-06-24 16:55:30.101000	
Fircoal	725072293428068503	<sacrifice655946392082186302> mikaelsson	2020-06-23 19:38:25.945000	None	
Sharur	725083579893415977	~~🗳️ Will~~	2020-06-23 20:23:16.848000	2020-06-23 20:44:55.343000	
Sharur	725086129430200372	~~<sacrifice655946392082186302> mik~~	2020-06-23 20:33:24.705000	2020-06-23 22:26:07.157000	
Sharur	725089045985624134	~~🗳️ pqr~~	2020-06-23 20:45:00.066000	2020-06-24 01:04:34.308000	
Sharur	725114506279256147	~~<sacrifice655946392082186302> Caetra~~	2020-06-23 22:26:10.273000	2020-06-24 19:59:10.396000	
bazkitcase5	725129488484007978	🗳️ pqr	2020-06-23 23:25:42.309000	None	
conjugate	725130603418222632	🗳️ pqr	2020-06-23 23:30:08.130000	None	
Sharur	725154395813052446	unvote 🗳️	2020-06-24 01:04:40.679000	None	
DDL	725162998834135071	🗳️ pqr	2020-06-24 01:38:51.799000	None	
Jerry	725276166507987006	unvote unvote	2020-06-24 09:08:33.075000	None	
Jerry	725276299953831947	🗳️ pqr	2020-06-24 09:09:04.891000	None	
Jerry	725276590493138946	<sacrifice655946392082186302> Caetra	2020-06-24 09:10:14.161000	None	
Anders	725358553979945050	🗳️ pqr	2020-06-24 14:35:55.779000	None	
DDL	725383256870092960	<sacrifice655946392082186302> ~~mikaelsson~~	2020-06-24 16:14:05.407000	2020-06-24 22:55:02.719000	
Caetra	725393710082424894	~~<sacrifice655946392082186302> catoftheyear~~	2020-06-24 16:55:37.647000	2020-06-24 18:10:05.724000	
Caetra	725412458465984582	unvote	2020-06-24 18:10:07.610000	None	
pqr	725414158161412218	<sacrifice655946392082186302> ~~Anders~~	2020-06-24 18:16:52.849000	2020-06-24 23:10:19.795000	
Ravenshard	725435429628936302	unvote <sacrifice655946392082186302>	2020-06-24 19:41:24.362000	None	
Ravenshard	725438699168333914	<sacrifice655946392082186302>  Rozy	2020-06-24 19:54:23.881000	None	
Sharur	725438708748124200	~~<sacrifice655946392082186302> Rozy~~	2020-06-24 19:54:26.165000	2020-06-24 20:30:11.193000	
mikaelsson	725439009643430010	<sacrifice655946392082186302> Rozy	2020-06-24 19:55:37.904000	None	
eh1414	725439418390937610	<sacrifice655946392082186302> Rozyroz	2020-06-24 19:57:15.357000	None	
Donkey-Dude	725439498053222451	unvote	2020-06-24 19:57:34.350000	None	
Donkey-Dude	725439542861234196	<sacrifice655946392082186302> Rozy	2020-06-24 19:57:45.033000	None	
Sharur	725447722097967165	<sacrifice655946392082186302> Donkey-Dude	2020-06-24 20:30:15.115000	None	
bazkitcase5	725455167197282314	<sacrifice655946392082186302> Donkey-Dude	2020-06-24 20:59:50.165000	None	
Emmi	725468053793669191	<sacrifice655946392082186302> Will	2020-06-24 21:51:02.569000	None	
Anders	725468585996320838	<sacrifice655946392082186302> emmi	2020-06-24 21:53:09.456000	None	
conjugate	725473419986206851	<sacrifice655946392082186302> mikaelsson	2020-06-24 22:12:21.969000	None	
DDL	725484113586552903	<sacrifice655946392082186302> Rozy	2020-06-24 22:54:51.522000	None	
pqr	725487948354682880	<sacrifice655946392082186302> Rozy	2020-06-24 23:10:05.802000	None	
Rozyroz	725498858179919955	<sacrifice655946392082186302> Donkey-Dude	2020-06-24 23:53:26.907000	None	
