Author	Id	Content	Created_at	Edited_at	Mentions
Bluey The Bear	724996724577271830	<@&720604360756822117>s rise and shine! |newline|  |newline| The rooster crows as the sun rises over the nearby mountains. Birds chirp, and the morning is beautiful. At least on the surface. For days now there have been worrying signs that your mortal enemies have returned: Werewolves. Will you be able to fight them off this time? |newline|  |newline| **Surviving Villagers (16)** |newline| - Caetra |newline| - Will((ow)|(iam)) |newline| - Fircoal |newline| - Donkey-Dude |newline| - catoftheyear |newline| - mikaelsson |newline| - eh1414 |newline| - DDL |newline| - pqr |newline| - Sharur |newline| - Ravenshard |newline| - Bazkitcase5 |newline| - Rozyroz |newline| - Jerrydot |newline| - Anders |newline| - Emmi |newline|  |newline| **Welcome to Day 1**	2020-06-23 14:38:08.927000	None	
Bluey The Bear	725000659333808178		2020-06-23 14:53:47.046000	None	
Bluey The Bear	725014201482870815	Can confirm there is at least one wolf	2020-06-23 15:47:35.746000	None	
Bluey The Bear	725015000799903866	I’ll just confirm it: there are 4	2020-06-23 15:50:46.318000	None	
Bluey The Bear	725030648410014028	As written it would be at the deadline but it would make sense to award it early if someone gets a majority	2020-06-23 16:52:56.999000	None	
Bluey The Bear	725036673687093298	No it isn't	2020-06-23 17:16:53.537000	None	
Bluey The Bear	725037245446488176	You should have nothing more than your word to go off of	2020-06-23 17:19:09.855000	None	
Bluey The Bear	725041408368443392	It's allowed, and it's never explicitly stated but no-sac and no-gov are both valid votes	2020-06-23 17:35:42.373000	None	
Bluey The Bear	725041504082591794	I'ma go and explicitly state that in the rules doc	2020-06-23 17:36:05.193000	None	
Bluey The Bear	725044553563766784	48h from my pinned post at the latest. Gov deadline is sooner, only 24h	2020-06-23 17:48:12.246000	None	
Bluey The Bear	725045712777379932	It’s shorter if we reach a majority to sacrifice earlier	2020-06-23 17:52:48.624000	None	
Bluey The Bear	725072632277499955	Political parties: The best kind of party	2020-06-23 19:39:46.733000	None	
Bluey The Bear	725080276086030418	You're protected for your first term serving in government. If you were governor but get elected chancellor, you don't get the protection	2020-06-23 20:10:09.159000	None	
Bluey The Bear	725080358412091454	or chosen I guess, not elected	2020-06-23 20:10:28.787000	None	
Bluey The Bear	725082931168673906	Does that make assumptions about wolves voting or not voting for each other?	2020-06-23 20:20:42.180000	None	
Bluey The Bear	725157168201859134	Yes and no	2020-06-24 01:15:41.668000	None	
Bluey The Bear	725157327765897276	Sorry, I’m on mobile rn and editing the tallies is a real mess	2020-06-24 01:16:19.711000	None	
Bluey The Bear	725157408124698704	So they’re gonna be outdated for a little while	2020-06-24 01:16:38.870000	None	
Bluey The Bear	725158878727372841	🔨 seems appropriate for the gov election too	2020-06-24 01:22:29.489000	None	
Bluey The Bear	725158972784377867	9	2020-06-24 01:22:51.914000	None	
Bluey The Bear	725169038472249375	"arrest"	2020-06-24 02:02:51.761000	None	
Bluey The Bear	725354557382721636	The Peddler name comes from Fruit Vendor but I misread that role so it’s actually Friendly Neighbor	2020-06-24 14:20:02.916000	None	
Bluey The Bear	725354808944492554	Anyways I’m going to drink some coffee and then catch up on the thread	2020-06-24 14:21:02.893000	None	
Bluey The Bear	725357072811556894	You’re both wrong it’s in 10	2020-06-24 14:30:02.641000	None	
Bluey The Bear	725357239883268236	Hmm I guess it depends which post you're going off of	2020-06-24 14:30:42.474000	None	
Bluey The Bear	725357427024723969	I should probably go off of the actual day-starting one which puts it in 7	2020-06-24 14:31:27.092000	None	
Bluey The Bear	725359125017526326	<@&720604360756822117>s |newline|  |newline| I'd like you all to give a warm welcome to <@!232212860560736256>, our very first Governor, elected with the support of a majority of the town. |newline|  |newline| Final Governor Votes: |newline| 🗳️ **Fircoal**: Caetra |newline| 🗳️ **pqr**: Ravenshard, mikaelsson, pqr, Rozyroz, bazkitcase5, catoftheyear, DDL, Jerrydot, Anders |newline| 🗳️ **Ravenshard**: Donkey-Dude |newline| 🗳️ **Will((ow)|(iam))**: Will((ow)|(iam)) |newline| Has Not Voted: Fircoal, eh1414, Emmi, Sharur	2020-06-24 14:38:11.925000	None	,pqr#8310
Bluey The Bear	725359482015842384	<@&724809817775931463> Would you like to give an inaugural speech or sth?	2020-06-24 14:39:37.040000	None	
Bluey The Bear	725359576375099413		2020-06-24 14:39:59.537000	None	
Bluey The Bear	725383419013365820	I wrote it with non-specific Heirloom in mind. I don't think naming the heirlooms accomplishes anything	2020-06-24 16:14:44.065000	None	
Bluey The Bear	725383624395849799	If the peddler's identity was secret then it might accomplish something	2020-06-24 16:15:33.032000	None	
Bluey The Bear	725384855902224395	I'm sure you'll still find a way to apply Bayes' Theorem	2020-06-24 16:20:26.646000	None	
