Author	Id	Content	Created_at	Edited_at	Mentions
Caetra	724997271078568056	the fact that will has said they will only vote if they get to be governor or chancellor is a pretty solid reason to never allow will to be either	2020-06-23 14:40:19.223000	None	
Caetra	724997355044208741	i mean, if they become confirmed town later, sure	2020-06-23 14:40:39.242000	None	
Caetra	724997385423683695	but right now definitely not	2020-06-23 14:40:46.485000	None	
Caetra	724997697257341049	yes	2020-06-23 14:42:00.832000	None	
Caetra	724997978687012944	also as is tradition I have started day 1 with random votes	2020-06-23 14:43:07.930000	None	
Caetra	724998363690303502	dislike use of provable randomness from dombot	2020-06-23 14:44:39.722000	None	
Caetra	724998664229093527	> So how random was your random Caetra |newline| i will not be answering this question, because i want you to be unsure whether i have a reason or i rolled dice	2020-06-23 14:45:51.376000	None	
Caetra	724998911126667294	we can always change these later	2020-06-23 14:46:50.241000	None	
Caetra	724998939799191682	this is just how you start discussion	2020-06-23 14:46:57.077000	None	
Caetra	724998982278971517	by bullshitting around until someone slips up	2020-06-23 14:47:07.205000	None	
Caetra	724999165159145524	why would they have followed yours	2020-06-23 14:47:50.807000	None	
Caetra	724999205424332864	there is no reason to follow yours	2020-06-23 14:48:00.407000	None	
Caetra	724999339742724168	yes we canders	2020-06-23 14:48:32.431000	None	
Caetra	724999650507096154	you should almost never follow who the initial random is |newline| the initial random is literally just to create something to talk about	2020-06-23 14:49:46.523000	None	
Caetra	725000853676884060	I'm going to drink coffee	2020-06-23 14:54:33.381000	None	
Caetra	725010279397851146	yeah I mean both governor and chancellor should just be People Who We Think Are Town |newline| and governor isn't that meaningful other than the chancellor choice, because they should NEVER block the sacrifice	2020-06-23 15:32:00.648000	None	
Caetra	725010387862421564	we don't	2020-06-23 15:32:26.508000	None	
Caetra	725010863936897134	okay yes you can edge case me with conf town |newline| even if they are town and think the person being voted is town, they should not block it, is what I am saying	2020-06-23 15:34:20.013000	None	
Caetra	725010903883448432	killing a vanillager is fine	2020-06-23 15:34:29.537000	None	
Caetra	725012068465508374	> ya'll are madlads and madlasses... idek how you can support the hound coming out today |newline| <@503775238996361226> because we always have a jailkeeper so we can have a confirmed town who's untouchable at night	2020-06-23 15:39:07.195000	None	,Ravenshard#0976
Caetra	725012128758628423	so we can just let that person lead	2020-06-23 15:39:21.570000	None	
Caetra	725012601129664553	i mean, even a few days in I think hound claim would be reasonable to narrow down the vote pool even if the game isn't won	2020-06-23 15:41:14.192000	None	
Caetra	725012624021913711	not day 1, I agree	2020-06-23 15:41:19.650000	None	
Caetra	725014616715034716	I would assume that a 16 player game has 4 scum, so I would assume that if we get to, say, 9, with no wolves dead	2020-06-23 15:49:14.745000	None	
Caetra	725014626462335008	yeah	2020-06-23 15:49:17.069000	None	
Caetra	725014685081927741	if there are fewer than 4 that's just a bonus	2020-06-23 15:49:31.045000	None	
Caetra	725014764127911966	if there are 5 then the game is bad	2020-06-23 15:49:49.891000	None	
Caetra	725014852694835220	i will operate under the assumption there are 4	2020-06-23 15:50:11.007000	None	
Caetra	725015021733806140	thanks	2020-06-23 15:50:51.309000	None	
Caetra	725036548680318976	> he can upload a screenshot of his random result to a site and post us the link, on a site where the image is locked until a certain date |newline| <@!173497654561603584> <@!596373234262474764> this should not be allowed	2020-06-23 17:16:23.733000	None	,conjugate#3677,Bluey The Bear#1472
Caetra	725036712136409168	it's out of game communication	2020-06-23 17:17:02.704000	None	
Caetra	725037106862227980	i'm not the mod but i don't think provable randomness should be allowed in general	2020-06-23 17:18:36.814000	None	
Caetra	725037130178625618	including dombot random should not be allowed	2020-06-23 17:18:42.373000	None	
Caetra	725038172316237854	the fact that someone wants a position of power is evidence that they should not be trusted with it	2020-06-23 17:22:50.838000	None	
Caetra	725038805391900673	it's obviously good to have a villager, but the fact that you're saying you won't vote for anyone other than yourself on d1 when you have no votes for you is anti town	2020-06-23 17:25:21.775000	None	
Caetra	725039072086720543	> isnt it more important to have chancellor town than governor town early? |newline| yes but, do you think a scum governor is more or less likely than random to pick a scum chancellor	2020-06-23 17:26:25.360000	None	
Caetra	725039297610383360	fwiw i agree with the assessment that governor should in all cases pick another leading governor candidate as chancellor	2020-06-23 17:27:19.129000	None	
Caetra	725040015247409152	> I think whoever is governor should stop every sac. **STONKS** 📈 |newline| for legal reasons this is a joke	2020-06-23 17:30:10.227000	None	
Caetra	725040551300431902	pqr was obviously joking	2020-06-23 17:32:18.032000	None	
Caetra	725040639477284955	<:expandingbrain:685840072427569177>	2020-06-23 17:32:39.055000	None	
Caetra	725041022463377438	can't have a werewolf as chancellor if the governor declines to ever select one <:expandingbrain:685840072427569177>	2020-06-23 17:34:10.366000	None	
Caetra	725041300402864138	i mean, the governor could just literally post nothing in between being selected, and end of day	2020-06-23 17:35:16.632000	None	
