Author	Id	Content	Created_at	Edited_at	Mentions
DDL	724997629053894728	hey guys	2020-06-23 14:41:44.571000	None	
DDL	724997674423681038	there are like 5 channels for mafia here, is this where the talking happens?	2020-06-23 14:41:55.388000	None	
DDL	724997729008353290	oh cool	2020-06-23 14:42:08.402000	None	
DDL	724997773950189661	first time playing mafia here, tho9ugh I've been playing forum mafiua for 6 years	2020-06-23 14:42:19.117000	None	
DDL	724997793952956556	nice to meet ya	2020-06-23 14:42:23.886000	None	
DDL	725000118520250396	> will we leave the americans a nice present of several hundred messages to browse with their morning coffee? |newline| <@!518822100870627339>  |newline|  |newline| In one of the places where I play mafia they have this "coffee tell"	2020-06-23 14:51:38.106000	None	,eh1414#5517
DDL	725000195158310912	they say if you show up and say you are going to drink coffee then read the thread you are a wolf	2020-06-23 14:51:56.378000	None	
DDL	725000216767365250	apparently it works very often	2020-06-23 14:52:01.530000	None	
DDL	725000300976537661	though now it's a meme so it's probably going to stop working	2020-06-23 14:52:21.607000	None	
DDL	725001037429080145	let me read the thread first	2020-06-23 14:55:17.191000	None	
DDL	725001069327024180	but first, I'll have a cup of coffee	2020-06-23 14:55:24.796000	None	
DDL	725001089023475832	jk I wokr up 4 hours ago	2020-06-23 14:55:29.492000	None	
DDL	725004779109089360	voting cat cuz I liked all his strategizing effort	2020-06-23 15:10:09.277000	None	
DDL	725004819860947035	still don't suspect anyone so far for sacrificing, though	2020-06-23 15:10:18.993000	None	
DDL	725004889268289586	need to get used to the avatars and the names first	2020-06-23 15:10:35.541000	None	
DDL	725005565004349488	I do agree if we have a hound it will be worth jailing them, although wolves can just use that as confirmation someone else is being jailed and avoid the hound	2020-06-23 15:13:16.649000	None	
DDL	725005622784950393	but in general the fact it is a possibility can play in our favor and help us prevent kills	2020-06-23 15:13:30.425000	None	
DDL	725007935423512668	oh I don't mind the hound should claim asap, but after they do claim, they should be priority for protection	2020-06-23 15:22:41.801000	None	
DDL	725008016033841263	I don't think *	2020-06-23 15:23:01.020000	None	
DDL	725008533438857217	well an advantage of the jail role is that whatever you do it's usually good for the village faction	2020-06-23 15:25:04.379000	None	
DDL	725008601596428348	you can try to aim towards town or mafia but even if you get it wrong you could still be helping	2020-06-23 15:25:20.629000	None	
DDL	725008776385790094	worst thing that happens is they block another town role the same night they are using their stuff, but the advantage of potentially stopping a nk greatly surpasses it	2020-06-23 15:26:02.302000	None	
DDL	725008827640184842	and protecting a mafia doesn't seem to be a problem since there are no vigs here	2020-06-23 15:26:14.522000	None	
DDL	725008999375831161	isn't the peddler a night ability?	2020-06-23 15:26:55.467000	None	
DDL	725009073753292830	oh nvm thats the night role right, I thought you meant the chancellor	2020-06-23 15:27:13.200000	None	
DDL	725009574536544400	maybe they shouldjust go to a highly trusted player. if they are town that's a key target, if they are mafia that's a potential deepwolf	2020-06-23 15:29:12.596000	None	
DDL	725010540312789033	we can have hunches. though at this point even those should be weak	2020-06-23 15:33:02.855000	None	
DDL	725011195987492874	sacrifices are usually better for town than not sacirificing, almost every time	2020-06-23 15:35:39.180000	None	
DDL	725011222507814975	except for thos eedge cases yeah	2020-06-23 15:35:45.503000	None	
DDL	725012334094974977	hound should only claim if they are in dangers of being sacced imo	2020-06-23 15:40:10.526000	None	
DDL	725012405540749392	or in endgame	2020-06-23 15:40:27.560000	None	
DDL	725012529469849691	> never played with hound, can u explain a bit about the reasoning for keeping him secret? |newline| <@!173497654561603584>  |newline|  |newline| the advantage of having a confirmed player is that they don't get killed by us	2020-06-23 15:40:57.107000	None	,conjugate#3677
DDL	725012595249250425	so if we aren't suspecting them they have no reason to reveal themselves and paint a target on their back	2020-06-23 15:41:12.790000	None	
DDL	725012690191384576	also a lylo reveal could win the game yeah	2020-06-23 15:41:35.426000	None	
DDL	725012888980553839	what is the chance that wolves not having the unblockable kill will matter in the end, though?	2020-06-23 15:42:22.821000	None	
DDL	725013011890307072	I dunno never seen anyone try to bait an unblockable kill. if they use the kill that's already an advantage they are having	2020-06-23 15:42:52.125000	None	
DDL	725013187895754826	if they get killed the old fashioned way they it would happen anyway	2020-06-23 15:43:34.088000	None	
DDL	725013234486214837	revealing themselves only increases the chance that happens	2020-06-23 15:43:45.196000	None	
DDL	725023542391079036	I mean on day none of the votes will be too serious	2020-06-23 16:24:42.792000	None	
DDL	725023573432860742	but we should at least try and state our opinions	2020-06-23 16:24:50.193000	None	
DDL	725023612897329236	out some words behind the vote	2020-06-23 16:24:59.602000	None	
DDL	725023658191487036	I mean on day 1 none*	2020-06-23 16:25:10.401000	None	
DDL	725023743331795036	who was it who was random voting again?	2020-06-23 16:25:30.700000	None	
DDL	725024321701150800	ok I'll non random vote there then	2020-06-23 16:27:48.594000	None	
DDL	725024491302027414	townies do that sometimes tbhy	2020-06-23 16:28:29.030000	None	
DDL	725024545982906448	it's just a lazy thing, and lazy is not necessarily indicative of alignment	2020-06-23 16:28:42.067000	None	
DDL	725036030792826898	Raven I don't think hes implying anything, hes just considering a wolf might be chancellor	2020-06-23 17:14:20.259000	None	
DDL	725036273437507605	How do we even prove it was random tho	2020-06-23 17:15:18.110000	None	
DDL	725036479704727602	Well its a free roleblock. To be aimed at whoever they think is peddler I believe	2020-06-23 17:16:07.288000	None	
DDL	725036665877430352	I wouldn't allow it if I was the host. Tho I'm not sure about here	2020-06-23 17:16:51.675000	None	
DDL	725036706109194301	"proving" things in mafia is eh	2020-06-23 17:17:01.267000	None	
DDL	725037760016154636	Dombot random vote is fine imo cuz we can just sacrifice whoever does it	2020-06-23 17:21:12.538000	None	
DDL	725037798545031248	Since its not pro-village to do so	2020-06-23 17:21:21.724000	None	
DDL	725037877490090115	Problem is when people can prove themselves as town	2020-06-23 17:21:40.546000	None	
DDL	725045192519843960	is every day 48 hours?	2020-06-23 17:50:44.585000	None	
DDL	725049899212603463	werll it's day phase, so he's probably doing smithy work somewhere	2020-06-23 18:09:26.748000	None	
DDL	725077523884539924	> don't edgecase the newbies on day 1 |newline| <@100627572219449344>  |newline|  |newline| I have 6 years of yelling at other people who didn't want to lynch, no worries. |newline|  |newline| The last community I ventured into EVERYBODY was against lynching without proof. Ugh.	2020-06-23 19:59:12.983000	None	,Caetra#5203
DDL	725079799210442862	Guys, I have a thought. If governor protection is one shot	2020-06-23 20:08:15.463000	None	
DDL	725079872975929605	Arent we making that person vulnerable to kills after their term ends	2020-06-23 20:08:33.050000	None	
DDL	725080002139390043	Do chancellors have protections	2020-06-23 20:09:03.845000	None	
DDL	725080153440518194	Rogues are better used to eliminate PRs imo	2020-06-23 20:09:39.918000	None	
DDL	725080473138888796	Yeah so if we elect someone governor and that person is someone we might want to protect later	2020-06-23 20:10:56.140000	None	
DDL	725080500443676703	Wre can't	2020-06-23 20:11:02.650000	None	
DDL	725080597365522502	> to be fair, we somewhere between few and no PRs |newline| <@286950779187625984>  |newline|  |newline| Yeah and they are also unconfirmed so meh	2020-06-23 20:11:25.758000	None	,Sharur#7043
DDL	725080896679444511	Oh btw I agree when fircoal says we should focus on sacrifice not on elections	2020-06-23 20:12:37.120000	None	
DDL	725080952254234675	Cuz the former is what the game really is about	2020-06-23 20:12:50.370000	None	
DDL	725081226171645972	Yeah ok	2020-06-23 20:13:55.677000	None	
DDL	725081701478563940	Fuck technicality, burn the witch	2020-06-23 20:15:48.999000	None	
DDL	725081762740305980	(saying this about someone elses vote Im not actually taking part in)	2020-06-23 20:16:03.605000	None	
DDL	725081986695299133	(it was a joke guys)	2020-06-23 20:16:57	None	
DDL	725082337565606000	The plot thickens	2020-06-23 20:18:20.654000	None	
DDL	725082649135415367	> what r the odds for town to win by just saccing random every day?:D |newline| <@173497654561603584>  |newline|  |newline| I once did a simulation for a setup I was making and it's like 30%	2020-06-23 20:19:34.938000	None	,conjugate#3677
DDL	725082872196628641	Between 25 and 30 I think	2020-06-23 20:20:28.120000	None	
