Author	Id	Content	Created_at	Edited_at	Mentions
Fircoal	725020807092240475	Yay game started	2020-06-23 16:13:50.646000	None	
Fircoal	725021109547958403	I dont like the idea of the hound claiming nor do I like these random votes. They feel like a nice disguise so that peeps dont have to put something forward. Just blame random.	2020-06-23 16:15:02.757000	None	
Fircoal	725023279672197183	I dont think there needs to be a serious vote	2020-06-23 16:23:40.155000	None	
Fircoal	725023406101364767	Just it's easy to brush off random votes and they just dont do much espeically when out in the open like this.	2020-06-23 16:24:10.298000	None	
Fircoal	725029325702692944	We need a gov before sacrifice but that doesnt mean we shouldn't apply pressure before we get a governor, that seems really silly to me	2020-06-23 16:47:41.641000	None	
Fircoal	725029411589456013	It's not like were likely to sacrifice until the last couple of hours anyway	2020-06-23 16:48:02.118000	None	
Fircoal	725036320195477595	A wolf being chancellor sounds very bad	2020-06-23 17:15:29.258000	None	
Fircoal	725037423842557976	But my word is useless 📉	2020-06-23 17:19:52.388000	None	
Fircoal	725037828140171287	^	2020-06-23 17:21:28.780000	None	
Fircoal	725037888236159209	I got fastposted	2020-06-23 17:21:43.108000	None	
Fircoal	725037931667914762	That ^ was for DDL	2020-06-23 17:21:53.463000	None	
Fircoal	725039965939171398	I think whoever is governor should stop every sac. **STONKS** 📈	2020-06-23 17:29:58.471000	None	
Fircoal	725041385597829191	Elect me as governor and I promise to do absolutely nothing	2020-06-23 17:35:36.944000	None	
Fircoal	725041709234520085	ANARCHY	2020-06-23 17:36:54.105000	None	
Fircoal	725041994996646020	its important to no governor otherwise this town becomes different from all the others and we all know different is bad. After all who is the most different from a regular villagers **WEREWOLVES**	2020-06-23 17:38:02.236000	None	
Fircoal	725045596234186893	yuppers	2020-06-23 17:52:20.838000	None	
Fircoal	725048604980674660	He said he was moving today I believe	2020-06-23 18:04:18.179000	None	
Fircoal	725072251124449320	Ok since we're going there anyway I think it's time to bring out some of my thoughts into the village. 😎	2020-06-23 19:38:15.859000	None	
