Author	Id	Content	Created_at	Edited_at	Mentions
Ravenshard	724998134203416738	Jerry was the first person to say werewolves, therefore, they are a werewolf	2020-06-23 14:43:45.008000	None	
Ravenshard	724998321768366121	excellent	2020-06-23 14:44:29.727000	None	
Ravenshard	724998421878014013	change your sacrifice Caetra	2020-06-23 14:44:53.595000	None	
Ravenshard	724998657841168414	heck ya, me for mayor	2020-06-23 14:45:49.853000	None	
Ravenshard	724999303545749595	yes we can anders	2020-06-23 14:48:23.801000	None	
Ravenshard	724999828379140188	I can get behind that eh, I'm the favoured seed anyways 😛	2020-06-23 14:50:28.931000	None	
Ravenshard	724999938131361862	although the last time I let a dominion game settle something for werewolf, it resulted in nightmares	2020-06-23 14:50:55.098000	None	
Ravenshard	724999956997341284	(still not over that game anders)	2020-06-23 14:50:59.596000	None	
Ravenshard	725000143597731931	hound reveals at L-1 and otherwise never	2020-06-23 14:51:44.085000	None	
Ravenshard	725000968797814864	If i'm gov, i'll make sure everyone gets a silver	2020-06-23 14:55:00.828000	None	
Ravenshard	725003003253227623	oh, catoftheyear said that	2020-06-23 15:03:05.880000	None	
Ravenshard	725003028578566167	well at least we have a front runner now	2020-06-23 15:03:11.918000	None	
Ravenshard	725007369343467641	what, the hound remains anon	2020-06-23 15:20:26.837000	None	
Ravenshard	725007398363988079	literally no one should know who the hound is	2020-06-23 15:20:33.756000	None	
Ravenshard	725007414352412763	the longer they're alive, the better	2020-06-23 15:20:37.568000	None	
Ravenshard	725007593805840484	the chancellor should jail whoever they think is the wolf cause if no nk happens, then it's pretty highly confirmed whoever they jailed is the wolf	2020-06-23 15:21:20.353000	None	
Ravenshard	725007632221339709	or was supposed to commit the kill**	2020-06-23 15:21:29.512000	None	
Ravenshard	725011767331258418	ya'll are madlads and madlasses... idek how you can support the hound coming out today	2020-06-23 15:37:55.399000	None	
Ravenshard	725012154482425987	i'd rather use chancellor to find wolves	2020-06-23 15:39:27.703000	None	
Ravenshard	725012255892045934	change to that strategy when hound is out	2020-06-23 15:39:51.881000	None	
Ravenshard	725012308300136500	plus how do you expect to protect the hound against rogue kill?	2020-06-23 15:40:04.376000	None	
Ravenshard	725012504962400386	hound claims at lylo or when it would put us close to having it "in hand"	2020-06-23 15:40:51.264000	None	
Ravenshard	725013059835396106	hound literally has no value right now	2020-06-23 15:43:03.556000	None	
Ravenshard	725013247945867345	why can't ntb be in this game to support me and telling ya'll that you're all crazy	2020-06-23 15:43:48.405000	None	
Ravenshard	725013568818511904	Did bluey confirm if we have 3 or 4 wolves?  with 16 I thought we'd have 4 but not confirmed at all iirc	2020-06-23 15:45:04.907000	None	
Ravenshard	725013917507780688	hound is confirmed to exist, along with peddler and rogue	2020-06-23 15:46:28.041000	None	
Ravenshard	725013971626754088	oh wait, hmmm	2020-06-23 15:46:40.944000	None	
Ravenshard	725014003754991707	it says "max 1", so I suppose they may not exist	2020-06-23 15:46:48.604000	None	
Ravenshard	725014030212792360	having no prs would be great lol	2020-06-23 15:46:54.912000	None	
Ravenshard	725014190661697547	no	2020-06-23 15:47:33.166000	None	
Ravenshard	725014220864880730	thanks bluey	2020-06-23 15:47:40.367000	None	
Ravenshard	725014245384912958	can you tell us if we hit lylo?	2020-06-23 15:47:46.213000	None	
Ravenshard	725014268910764112	or mylo	2020-06-23 15:47:51.822000	None	
Ravenshard	725014408606253118	inb4 we're actually just playing serial killer and there's only 1 killer and they sit alone in the wolf den talking to themselves	2020-06-23 15:48:25.128000	None	
Ravenshard	725014770490802257	I was hoping on the morning that there's 9 of us left Bluey would say something like "Warning!  you're in lylo!" or something like that	2020-06-23 15:49:51.408000	None	
Ravenshard	725014879370739743	same probably	2020-06-23 15:50:17.367000	None	
Ravenshard	725015200071155804	thanks bluey ❤️	2020-06-23 15:51:33.828000	None	
Ravenshard	725022605203079211	If you wanted a serious vote, I'd consider someone who said "hey, the hound should confirm right now!"	2020-06-23 16:20:59.349000	None	
Ravenshard	725023112374255747	I think we'll have to work with less evidence than previous games, cause day-chat allows for much more communication and planning for wolves during the day	2020-06-23 16:23:00.268000	None	
Ravenshard	725029528342364260	knowing our history, we'll wait until 3 hours left to go "okay who should we sac"	2020-06-23 16:48:29.954000	None	
Ravenshard	725030703863169046	okie, that's what I was thinking about probably happen	2020-06-23 16:53:10.220000	None	
Ravenshard	725031652136583178	well we're going to argue over the chancellor picking a wolve vs someone we think will be targeted	2020-06-23 16:56:56.306000	None	
Ravenshard	725033982286364772	ugh I could work out the math and probabilities if you give me some time and paper	2020-06-23 17:06:11.857000	None	
Ravenshard	725034028083970099	the odds are so low for that to randomly occur tho	2020-06-23 17:06:22.776000	None	
Ravenshard	725034162678923344	15 players, one will die at sacrifice today	2020-06-23 17:06:54.866000	None	
Ravenshard	725034285693796433	1/15 for random night kill \* 1/15 for random jailkeep	2020-06-23 17:07:24.195000	None	
Ravenshard	725034319055421608	that's 1/225 iirc	2020-06-23 17:07:32.149000	None	
Ravenshard	725034387846201436	or they jail the killer, which is 1/15	2020-06-23 17:07:48.550000	None	
Ravenshard	725034422532833283	that's why it's better to target the killer	2020-06-23 17:07:56.820000	None	
Ravenshard	725034532734107709	to us it's random, to them it's not	2020-06-23 17:08:23.094000	None	
Ravenshard	725034599398244412	and then we get to deduce why they killed who they killed	2020-06-23 17:08:38.988000	None	
Ravenshard	725035128367218689	which 4 are you removing cat?  I'd like to know	2020-06-23 17:10:45.104000	None	
Ravenshard	725035383624040592	your calculations are implying a wolf with be chacellor	2020-06-23 17:11:45.962000	None	
Ravenshard	725041900196855878	my vote for pqr was basically a conversation starter and wasn't intended to be a serious selection for governor unless it made sense after 12 hours or so	2020-06-23 17:37:39.634000	None	
Ravenshard	725049327353069639	rozy, why would you vote for pqr for gov?	2020-06-23 18:07:10.406000	None	
Ravenshard	725060459740528700	Huh, Sharur is the only one we haven't heard from yet, if anyone was curious	2020-06-23 18:51:24.574000	None	
Ravenshard	725064021438627861	or he could be moving like he said he would be	2020-06-23 19:05:33.749000	None	
Ravenshard	725064989303504937	so who do you think could possibly be a <werewolf693949777167253634>  right now cat?	2020-06-23 19:09:24.506000	None	
Ravenshard	725065106450284575	no you're kitty	2020-06-23 19:09:52.436000	None	
Ravenshard	725065224155037837	although you can voice your opinion too Caetra	2020-06-23 19:10:20.499000	None	
Ravenshard	725066399654871122	we haven't considered that, but I can already envision much complaining	2020-06-23 19:15:00.760000	None	
Ravenshard	725066933971451995	great, that's everyone	2020-06-23 19:17:08.151000	None	
Ravenshard	725066973599498340	find me a wolf who admits they're a wolf and I will show you a fool	2020-06-23 19:17:17.599000	None	
