Author	Id	Content	Created_at	Edited_at	Mentions
Will((ow)|(iam))	725037826608988220	If I am elected governor, my chancellor will be the 2nd place candidate for governor.	2020-06-23 17:21:28.415000	None	
Will((ow)|(iam))	725037884058370138	(I'm not fully paying attention to the game)	2020-06-23 17:21:42.112000	None	
Will((ow)|(iam))	725038129295130645	It's "they"	2020-06-23 17:22:40.581000	None	
Will((ow)|(iam))	725038175721881620	theynks	2020-06-23 17:22:51.650000	None	
Will((ow)|(iam))	725038609257725973	> the fact that someone wants a position of power is evidence that they should not be trusted with it |newline|  |newline| I disagree. It is no less helpful to the villagers to have a villager in office as it is for the werewolves to have a werewolf in office. As a villager, it is in my best interest to have the only one I know for certain is a villager in office.	2020-06-23 17:24:35.013000	None	
Will((ow)|(iam))	725038744020713473	I don't begrudge you for that pqr	2020-06-23 17:25:07.143000	None	
Will((ow)|(iam))	725038859955732582	What's the case for pqr?	2020-06-23 17:25:34.784000	None	
Will((ow)|(iam))	725038909716693074	(or other nominees)	2020-06-23 17:25:46.648000	None	
Will((ow)|(iam))	725040485974147192	pqr, yes you can.	2020-06-23 17:32:02.457000	None	
Will((ow)|(iam))	725040593998315560	Oh. I'm dumb.	2020-06-23 17:32:28.212000	None	
Will((ow)|(iam))	725040793689129021	Typically with that meme, it's something actually true, but it's overall counterproductive. "Can't have your chapel at the bottom of the 2nd shuffle if you don't open chapel"	2020-06-23 17:33:15.822000	None	
Will((ow)|(iam))	725041130340745256	Can the governor actually just not select a chancellor?	2020-06-23 17:34:36.086000	None	
Will((ow)|(iam))	725066939541618788	I think it's probably better to have no governor than a random governor.	2020-06-23 19:17:09.479000	None	
Will((ow)|(iam))	725068991436947496	Here's the math: |newline|  |newline| Random governor,  |newline| 1/4 chance governor is WW. Given governor is WW, 0% chance chancellor prevents kill, and we might have a roleblocker on the WW team. |newline| 3/4 chance governor is village-aligned. Given governor is village-aligned, 4/15 chance chancellor is WW so we have a roleblocker on the WW team. Given chancellor is village-aligned, 3/15 chance to prevent a kill(1 if they select active WW, 1 if they select rogue, 1 if they select WW target). |newline|  |newline| Chance given random gov we have bad chancellor: 1/4+(3/4 * 4/15)=45%. |newline| Chance given random gov we prevent a WW kill: 3/4 * 3/15=15%. |newline|  |newline| Seems like having a bad chancellor is one third as influential as preventing a WW kill, so it seems like a wash.	2020-06-23 19:25:18.689000	None	
Will((ow)|(iam))	725069320933343233	(this is assuming we have a lynch D1)	2020-06-23 19:26:37.247000	None	
Will((ow)|(iam))	725069885247455304	There exist endgame scenarios where saccing is counterproductive	2020-06-23 19:28:51.790000	None	
