Author	Id	Content	Created_at	Edited_at	Mentions
conjugate	724999954740936757	So how about the doggovernor plan?	2020-06-23 14:50:59.058000	None	
conjugate	725000778980524093	So... anyone wants to be gov?	2020-06-23 14:54:15.572000	None	
conjugate	725001150222303275	I say we sacrifice some1 that didnt talk up to this point	2020-06-23 14:55:44.083000	None	
conjugate	725001189355159562	WWs surveying the grounds	2020-06-23 14:55:53.413000	None	
conjugate	725001222360137779	Waiting to see where the winds blow	2020-06-23 14:56:01.282000	None	
conjugate	725004020145455184	A front runner for what?:)	2020-06-23 15:07:08.326000	None	
conjugate	725008014758772817	So are we supposed to know how many wolves r there?	2020-06-23 15:23:00.716000	None	
conjugate	725008141544325200	I trust donkey a bit more for also raising this question earlier	2020-06-23 15:23:30.944000	None	
conjugate	725008193230471168	I assume the wolves know how many wolves r there	2020-06-23 15:23:43.267000	None	
conjugate	725010344795177011	what indication we have that anyone is town at this point	2020-06-23 15:32:16.240000	None	
conjugate	725010609845960724	they should NEVER block with sacrifice sounds a bit much?	2020-06-23 15:33:19.433000	None	
conjugate	725010736803217509	for example they should block if they were given heirloom by peddler and they know they r saving village i guess	2020-06-23 15:33:49.702000	None	
conjugate	725010845754720347	but agree that generally blocking out of the blue sounds suspicious especially early	2020-06-23 15:34:15.678000	None	
conjugate	725010999761174529	sounds about right	2020-06-23 15:34:52.396000	None	
conjugate	725011854304215090	never played with hound, can u explain a bit about the reasoning for keeping him secret?	2020-06-23 15:38:16.135000	None	
conjugate	725011877599379557	just to not make him a target for wolves?	2020-06-23 15:38:21.689000	None	
conjugate	725012168499789905	i think the notion of trying to chancellor suspect wolves	2020-06-23 15:39:31.045000	None	
conjugate	725012171343396915	ye	2020-06-23 15:39:31.723000	None	
conjugate	725012184043749387	sounded stronger	2020-06-23 15:39:34.751000	None	
conjugate	725012665440927775	isnt it better to bait out the unblockable kill while the numbers are high	2020-06-23 15:41:29.525000	None	
conjugate	725012704988758107	seems like rogue becomes stronger the fewer our numbers get	2020-06-23 15:41:38.954000	None	
conjugate	725013353738797167	u convinced me at least	2020-06-23 15:44:13.628000	None	
conjugate	725013372235546814	(but im still crazy)	2020-06-23 15:44:18.038000	None	
conjugate	725013388442468402	madman*	2020-06-23 15:44:21.902000	None	
conjugate	725013742185742337	no confirmation yet	2020-06-23 15:45:46.241000	None	
conjugate	725013984801194024	up to 1	2020-06-23 15:46:44.085000	None	
conjugate	725014113033650237	maybe there r no wolves at all	2020-06-23 15:47:14.658000	None	
conjugate	725014122147872818	did we win?	2020-06-23 15:47:16.831000	None	
conjugate	725024045736656916	jerry	2020-06-23 16:26:42.799000	None	
conjugate	725024221344038926	not sure about mafia but	2020-06-23 16:27:24.667000	None	
conjugate	725024325899518033	in resistance spies many times tend to justify their votes by "eh random choice"	2020-06-23 16:27:49.595000	None	
conjugate	725024489611591811	dont think its anything to build on, but random seems like the worst thing, just lets ppl avoid interaction	2020-06-23 16:28:28.627000	None	
conjugate	725024823587242054	+i have conclusive evidence that he figured out the random seed used by dombot by spamming trillions of PMs and KNEW who would come up in random, hence whoever was offered as sacrifice is clearly village!@!	2020-06-23 16:29:48.253000	None	
conjugate	725024833099923456	(no)	2020-06-23 16:29:50.521000	None	
conjugate	725025188558667798	im gonna vote sacrifice for raven, he seems to be very quick to blame others	2020-06-23 16:31:15.269000	None	
conjugate	725025623621238825	for now anyway:)	2020-06-23 16:32:58.996000	None	
