Author	Id	Content	Created_at	Edited_at	Mentions
Bluey The Bear	724996724577271830	<@&720604360756822117>s rise and shine! |newline|  |newline| The rooster crows as the sun rises over the nearby mountains. Birds chirp, and the morning is beautiful. At least on the surface. For days now there have been worrying signs that your mortal enemies have returned: Werewolves. Will you be able to fight them off this time? |newline|  |newline| **Surviving Villagers (16)** |newline| - Caetra |newline| - Will((ow)|(iam)) |newline| - Fircoal |newline| - Donkey-Dude |newline| - catoftheyear |newline| - mikaelsson |newline| - eh1414 |newline| - DDL |newline| - pqr |newline| - Sharur |newline| - Ravenshard |newline| - Bazkitcase5 |newline| - Rozyroz |newline| - Jerrydot |newline| - Anders |newline| - Emmi |newline|  |newline| **Welcome to Day 1**	2020-06-23 14:38:08.927000	None	
pqr	724997192481505462	🥳	2020-06-23 14:40:00.484000	None	
Caetra	724997271078568056	the fact that will has said they will only vote if they get to be governor or chancellor is a pretty solid reason to never allow will to be either	2020-06-23 14:40:19.223000	None	
Caetra	724997355044208741	i mean, if they become confirmed town later, sure	2020-06-23 14:40:39.242000	None	
Caetra	724997385423683695	but right now definitely not	2020-06-23 14:40:46.485000	None	
Jerry	724997423105048696	Werewolves?? Surely not... I  did find some old discarded bandages a couple days ago but there was no reason to find it suspicious. I guess someone could have been covering up an infected bite though. The full moons have been particularly strong recently..	2020-06-23 14:40:55.469000	None	
DDL	724997629053894728	hey guys	2020-06-23 14:41:44.571000	None	
DDL	724997674423681038	there are like 5 channels for mafia here, is this where the talking happens?	2020-06-23 14:41:55.388000	None	
Caetra	724997697257341049	yes	2020-06-23 14:42:00.832000	None	
DDL	724997729008353290	oh cool	2020-06-23 14:42:08.402000	None	
DDL	724997773950189661	first time playing mafia here, tho9ugh I've been playing forum mafiua for 6 years	2020-06-23 14:42:19.117000	None	
DDL	724997793952956556	nice to meet ya	2020-06-23 14:42:23.886000	None	
Emmi	724997955937107988	Hi and welcome, DDL :)	2020-06-23 14:43:02.506000	None	
Caetra	724997978687012944	also as is tradition I have started day 1 with random votes	2020-06-23 14:43:07.930000	None	
Ravenshard	724998134203416738	Jerry was the first person to say werewolves, therefore, they are a werewolf	2020-06-23 14:43:45.008000	None	
Jerry	724998219133878303	We're going to have to act pretty quickly if we want to stamp the werewolves out. There could be several of them working in concert so we shouldn't even trust what we say to each other.  |newline|  |newline| Personally I hate Days like this 1. I am going to vote for governor and saccee randomly. The werewolves have way more information than us and can use it to manipulate the conversation. I'd rather go on a random target and see what happens. |newline|  |newline| First name in the random selection is my choice for governor. Second is my choice for sacrificing	2020-06-23 14:44:05.257000	None	
Jerry	724998227186942042	!random -p Caetra, Will((ow)|(iam)), Fircoal, Donkey-Dude, catoftheyear, mikaelsson, eh1414, DDL, pqr, Sharur, Ravenshard, Bazkitcase5, Rozyroz, Jerrydot, Anders, Emmi -n 2	2020-06-23 14:44:07.177000	None	
DomBot	724998228155564152		2020-06-23 14:44:07.408000	None	
Ravenshard	724998321768366121	excellent	2020-06-23 14:44:29.727000	None	
Caetra	724998363690303502	dislike use of provable randomness from dombot	2020-06-23 14:44:39.722000	None	
Ravenshard	724998421878014013	change your sacrifice Caetra	2020-06-23 14:44:53.595000	None	
Jerry	724998490400227328	So how random was your random Caetra	2020-06-23 14:45:09.932000	None	
Donkey-Dude	724998585976094750	!random -p Caetra, Will((ow)|(iam)), Fircoal, Jerrydot, catoftheyear, mikaelsson, eh1414, DDL, pqr, Sharur, Ravenshard, Bazkitcase5, Rozyroz, Jerrydot, Anders, Emmi -n 2	2020-06-23 14:45:32.719000	None	
DomBot	724998586919682059		2020-06-23 14:45:32.944000	None	
Ravenshard	724998657841168414	heck ya, me for mayor	2020-06-23 14:45:49.853000	None	
Caetra	724998664229093527	> So how random was your random Caetra |newline| i will not be answering this question, because i want you to be unsure whether i have a reason or i rolled dice	2020-06-23 14:45:51.376000	None	
Jerry	724998828419317842	Adding an extra random draw is not helpful DD. If everyone votes randomly then noone gets sacced	2020-06-23 14:46:30.522000	None	
Caetra	724998911126667294	we can always change these later	2020-06-23 14:46:50.241000	None	
Caetra	724998939799191682	this is just how you start discussion	2020-06-23 14:46:57.077000	None	
Caetra	724998982278971517	by bullshitting around until someone slips up	2020-06-23 14:47:07.205000	None	
Jerry	724998993863770134	I'm starting my discussion	2020-06-23 14:47:09.967000	None	
Donkey-Dude	724999008841367643	<@!276284470586507265> I had to try out the random function as well	2020-06-23 14:47:13.538000	None	,Jerry#6727
Jerry	724999029167095828	why did DD need to create a new one rather than follow mine	2020-06-23 14:47:18.384000	None	
Jerry	724999065531580429	Then why use it for your votes?	2020-06-23 14:47:27.054000	None	
Jerry	724999084577914911	Or why not PM dombot	2020-06-23 14:47:31.595000	None	
Anders	724999160092164106	why is everyone voting both for governor and sac? Can't we choose a governor first?	2020-06-23 14:47:49.599000	None	
Caetra	724999165159145524	why would they have followed yours	2020-06-23 14:47:50.807000	None	
Jerry	724999181483114596	Anyway this is the kind of discussion I wanted to avoid	2020-06-23 14:47:54.699000	None	
Caetra	724999205424332864	there is no reason to follow yours	2020-06-23 14:48:00.407000	None	
Donkey-Dude	724999275297374250	<@!276284470586507265> I think you are taking the random voting kind of seriously with little reason	2020-06-23 14:48:17.066000	None	,Jerry#6727
Ravenshard	724999303545749595	yes we can anders	2020-06-23 14:48:23.801000	None	
eh1414	724999319656333352	Perhaps our match tonight shall decide this, raven. if i win, you must be sacrificed, but if you defeat me, i will bow to you as our almighty governor.	2020-06-23 14:48:27.642000	None	
Caetra	724999339742724168	yes we canders	2020-06-23 14:48:32.431000	None	
Jerry	724999395032039474	Voting on a random target D1 only works if there is common impetus to follow a random vote	2020-06-23 14:48:45.613000	None	
Jerry	724999439302787163	Choosing any random selection other than the first one undermines the randomness	2020-06-23 14:48:56.168000	None	
Anders	724999549508386918	I suggest tabling discussion on who to sacrifice until we have a governor. That way we can let governor take lead in further discussion and use that to decide on reelection?	2020-06-23 14:49:22.443000	None	
Donkey-Dude	724999552267976866	Are we going into the ethics and the rules of randomness?	2020-06-23 14:49:23.101000	None	
Anders	724999600741679255	nobody has any info anyways, right, so what is the point of voting for sacrifice early?	2020-06-23 14:49:34.658000	None	
Caetra	724999650507096154	you should almost never follow who the initial random is |newline| the initial random is literally just to create something to talk about	2020-06-23 14:49:46.523000	None	
Anders	724999676893462648	it is much more valuable to get info on where the governor is steering us	2020-06-23 14:49:52.814000	None	
Jerry	724999729326325852	I believe in the initial random	2020-06-23 14:50:05.315000	None	
Jerry	724999775480578160	I think it's more likely to hit a ww	2020-06-23 14:50:16.319000	None	
eh1414	724999777380466819	we can always move on a proper sacrifice once we have a governor, but for now this is fine to get some convo going	2020-06-23 14:50:16.772000	None	
Ravenshard	724999828379140188	I can get behind that eh, I'm the favoured seed anyways 😛	2020-06-23 14:50:28.931000	None	
Ravenshard	724999938131361862	although the last time I let a dominion game settle something for werewolf, it resulted in nightmares	2020-06-23 14:50:55.098000	None	
conjugate	724999954740936757	So how about the doggovernor plan?	2020-06-23 14:50:59.058000	None	
Ravenshard	724999956997341284	(still not over that game anders)	2020-06-23 14:50:59.596000	None	
Jerry	725000019266109481	I don't think governor is valuable D1	2020-06-23 14:51:14.442000	None	
Jerry	725000045572784189	probably not very good D2 either	2020-06-23 14:51:20.714000	None	
Jerry	725000081215979521	Dog shouldn't reveal imo	2020-06-23 14:51:29.212000	None	
DDL	725000118520250396	> will we leave the americans a nice present of several hundred messages to browse with their morning coffee? |newline| <@!518822100870627339>  |newline|  |newline| In one of the places where I play mafia they have this "coffee tell"	2020-06-23 14:51:38.106000	None	,eh1414#5517
Ravenshard	725000143597731931	hound reveals at L-1 and otherwise never	2020-06-23 14:51:44.085000	None	
DDL	725000195158310912	they say if you show up and say you are going to drink coffee then read the thread you are a wolf	2020-06-23 14:51:56.378000	None	
DDL	725000216767365250	apparently it works very often	2020-06-23 14:52:01.530000	None	
eh1414	725000245951332372	ooh interesting	2020-06-23 14:52:08.488000	None	
DDL	725000300976537661	though now it's a meme so it's probably going to stop working	2020-06-23 14:52:21.607000	None	
Bluey The Bear	725000659333808178		2020-06-23 14:53:47.046000	None	
conjugate	725000778980524093	So... anyone wants to be gov?	2020-06-23 14:54:15.572000	None	
Caetra	725000853676884060	I'm going to drink coffee	2020-06-23 14:54:33.381000	None	
eh1414	725000940440125510	nice, you read the thread first	2020-06-23 14:54:54.067000	None	
Ravenshard	725000968797814864	If i'm gov, i'll make sure everyone gets a silver	2020-06-23 14:55:00.828000	None	
DDL	725001037429080145	let me read the thread first	2020-06-23 14:55:17.191000	None	
DDL	725001069327024180	but first, I'll have a cup of coffee	2020-06-23 14:55:24.796000	None	
DDL	725001089023475832	jk I wokr up 4 hours ago	2020-06-23 14:55:29.492000	None	
conjugate	725001150222303275	I say we sacrifice some1 that didnt talk up to this point	2020-06-23 14:55:44.083000	None	
conjugate	725001189355159562	WWs surveying the grounds	2020-06-23 14:55:53.413000	None	
eh1414	725001194082271323	if i’m gov, i’ll make sure everyone’s vote counts double	2020-06-23 14:55:54.540000	None	
conjugate	725001222360137779	Waiting to see where the winds blow	2020-06-23 14:56:01.282000	None	
pqr	725002393544032358	As I mentioned before the game started, I support any hound holding off on revealing for the time being	2020-06-23 15:00:40.514000	None	
Emmi	725002516525481995	Head off to work soon. If I can help just text me and I'll have a look if I get to take a break	2020-06-23 15:01:09.835000	None	
pqr	725002603360157718	Also I think it's a bit early to be talking about lurkers, the game only started 20 minutes ago!	2020-06-23 15:01:30.538000	None	
Ravenshard	725003003253227623	oh, catoftheyear said that	2020-06-23 15:03:05.880000	None	
Ravenshard	725003028578566167	well at least we have a front runner now	2020-06-23 15:03:11.918000	None	
conjugate	725004020145455184	A front runner for what?:)	2020-06-23 15:07:08.326000	None	
DDL	725004779109089360	voting cat cuz I liked all his strategizing effort	2020-06-23 15:10:09.277000	None	
DDL	725004819860947035	still don't suspect anyone so far for sacrificing, though	2020-06-23 15:10:18.993000	None	
DDL	725004889268289586	need to get used to the avatars and the names first	2020-06-23 15:10:35.541000	None	
DDL	725005565004349488	I do agree if we have a hound it will be worth jailing them, although wolves can just use that as confirmation someone else is being jailed and avoid the hound	2020-06-23 15:13:16.649000	None	
DDL	725005622784950393	but in general the fact it is a possibility can play in our favor and help us prevent kills	2020-06-23 15:13:30.425000	None	
Ravenshard	725007369343467641	what, the hound remains anon	2020-06-23 15:20:26.837000	None	
Ravenshard	725007398363988079	literally no one should know who the hound is	2020-06-23 15:20:33.756000	None	
Ravenshard	725007414352412763	the longer they're alive, the better	2020-06-23 15:20:37.568000	None	
Ravenshard	725007593805840484	the chancellor should jail whoever they think is the wolf cause if no nk happens, then it's pretty highly confirmed whoever they jailed is the wolf	2020-06-23 15:21:20.353000	None	
Ravenshard	725007632221339709	or was supposed to commit the kill**	2020-06-23 15:21:29.512000	None	
pqr	725007932798009436	Or they were the target	2020-06-23 15:22:41.175000	None	
DDL	725007935423512668	oh I don't mind the hound should claim asap, but after they do claim, they should be priority for protection	2020-06-23 15:22:41.801000	None	
conjugate	725008014758772817	So are we supposed to know how many wolves r there?	2020-06-23 15:23:00.716000	None	
DDL	725008016033841263	I don't think *	2020-06-23 15:23:01.020000	None	
conjugate	725008141544325200	I trust donkey a bit more for also raising this question earlier	2020-06-23 15:23:30.944000	None	
pqr	725008171340529684	I'm not sure if it's better for the chancellor to try to play aggressively or defensively at this stage	2020-06-23 15:23:38.048000	None	
conjugate	725008193230471168	I assume the wolves know how many wolves r there	2020-06-23 15:23:43.267000	None	
pqr	725008501230927913	Wolves have daychat so they're all in the channel together	2020-06-23 15:24:56.700000	None	
DDL	725008533438857217	well an advantage of the jail role is that whatever you do it's usually good for the village faction	2020-06-23 15:25:04.379000	None	
DDL	725008601596428348	you can try to aim towards town or mafia but even if you get it wrong you could still be helping	2020-06-23 15:25:20.629000	None	
pqr	725008629190623262	Yeah especially with only one town night role	2020-06-23 15:25:27.208000	None	
DDL	725008776385790094	worst thing that happens is they block another town role the same night they are using their stuff, but the advantage of potentially stopping a nk greatly surpasses it	2020-06-23 15:26:02.302000	None	
DDL	725008827640184842	and protecting a mafia doesn't seem to be a problem since there are no vigs here	2020-06-23 15:26:14.522000	None	
DDL	725008999375831161	isn't the peddler a night ability?	2020-06-23 15:26:55.467000	None	
DDL	725009073753292830	oh nvm thats the night role right, I thought you meant the chancellor	2020-06-23 15:27:13.200000	None	
pqr	725009561739854924	Yeah I meant peddler because the chancellor is kinda weird to describe and not necessarily town in any case	2020-06-23 15:29:09.545000	None	
