Author	Id	Content	Created_at	Edited_at	Mentions
mikaelsson	725028777188524153	Voting for a sacrifice before voting for a governor seems a bit WWish. Not having a gov means we don’t have a chancellor and not have the opportunity to stop the night kill...	2020-06-23 16:45:30.865000	None	
mikaelsson	725029117996564513	So even if most of you are joking around, we should definitely vote for a gov first.	2020-06-23 16:46:52.120000	None	
mikaelsson	725030353131143280	Does the gov get elected if he has the majority of the votes before deadline or is it at the actual deadline the votes gets counted to see who has won it?	2020-06-23 16:51:46.599000	None	
mikaelsson	725031731450740867	Obv not random before the night	2020-06-23 16:57:15.216000	None	
mikaelsson	725031922794889216	I meant to write public not random....	2020-06-23 16:58:00.836000	None	
mikaelsson	725066313717907466	have we ever considered to shorten d1 to only 24 hours? we mostly wait for the panic before deadline anyway	2020-06-23 19:14:40.271000	None	
mikaelsson	725067142885670984	i agree with cat	2020-06-23 19:17:57.960000	None	
mikaelsson	725071295817187359	> Here's the math: |newline| >  |newline| > Random governor,  |newline| > 1/4 chance governor is WW. Given governor is WW, 0% chance chancellor prevents kill |newline|  |newline| <@!178268995504439296>	2020-06-23 19:34:28.096000	None	,Will((ow)|(iam))#5197
mikaelsson	725071343044919296	why is that 0 %?	2020-06-23 19:34:39.356000	None	
mikaelsson	725072523229921342	was it no one else who thought that was a good idea for hound to reveal?	2020-06-23 19:39:20.734000	None	
mikaelsson	725074668284805150	sorry fir,  i dont understand... are u saying im against bandwagoning?	2020-06-23 19:47:52.155000	None	
mikaelsson	725075169957118016	not agreeing to ur arguments for voting on me...	2020-06-23 19:49:51.763000	None	
mikaelsson	725075292032466985	but anyway, my main reason for wanting to vote on a gov is not that the chancellor will have a chance to block the NK	2020-06-23 19:50:20.868000	None	
mikaelsson	725075444650475570	my main reason was that i want someone to lead the discussion and to pin messages/polls to help summarizing whats happening	2020-06-23 19:50:57.255000	None	
mikaelsson	725075626620354600	im not trying to delay any sacrifice votes, but i know from experience no one takes them serious untill deadline gets closer, hence why i want shorter d1	2020-06-23 19:51:40.640000	None	
mikaelsson	725075838944542770	i think if we get a gov, we might be able to syncronize better and maybe, just maybe, be able to put pressure on people before deadline	2020-06-23 19:52:31.262000	None	
mikaelsson	725075939846914240	yes, i can agree to that	2020-06-23 19:52:55.319000	None	
mikaelsson	725076203144347776	yes, u can do ur own thing caetra. but the ones who want to help town will prob try and listen if its a good gov	2020-06-23 19:53:58.094000	None	
mikaelsson	725076310363209778	I dont know if PQR is a WW or not, but he has shown some skills....	2020-06-23 19:54:23.657000	None	
mikaelsson	725076962690859050	yeah i can sort of admit its gonna be hard for anyone to lead this town at this point, but Im hoping the gov takes the responsibility to pin stuff thats worth noting	2020-06-23 19:56:59.184000	None	
mikaelsson	725077216173621368	i mean, when I wake up tomo and sharur is back I dont want to read 1000+ messages	2020-06-23 19:57:59.619000	None	
mikaelsson	725077765602148453	has everyone showed up today yet btw?	2020-06-23 20:00:10.613000	None	
mikaelsson	725078065805263000	19 hours?	2020-06-23 20:01:22.187000	None	
mikaelsson	725079228038774835	hi	2020-06-23 20:05:59.285000	None	
mikaelsson	725086861542031360	If we gonna have 1000+ messages i do think it would be good to have some sort of system for europeans to catch up what has happened at night	2020-06-23 20:36:19.254000	None	
mikaelsson	725087004416540772	and pqr does actually seems to be able to better do that than say for example caetra.....	2020-06-23 20:36:53.318000	None	
mikaelsson	725087316925743165	since he is the only one who can pin messages	2020-06-23 20:38:07.826000	None	
mikaelsson	725087386291273758	not saying he has to be the one writing them	2020-06-23 20:38:24.364000	None	
mikaelsson	725089496021991464	lets just vote for a gov then so we can start focus on the sac?	2020-06-23 20:46:47.363000	None	
