Author	Id	Content	Created_at	Edited_at	Mentions
pqr	724997192481505462	🥳	2020-06-23 14:40:00.484000	None	
pqr	725002393544032358	As I mentioned before the game started, I support any hound holding off on revealing for the time being	2020-06-23 15:00:40.514000	None	
pqr	725002603360157718	Also I think it's a bit early to be talking about lurkers, the game only started 20 minutes ago!	2020-06-23 15:01:30.538000	None	
pqr	725007932798009436	Or they were the target	2020-06-23 15:22:41.175000	None	
pqr	725008171340529684	I'm not sure if it's better for the chancellor to try to play aggressively or defensively at this stage	2020-06-23 15:23:38.048000	None	
pqr	725008501230927913	Wolves have daychat so they're all in the channel together	2020-06-23 15:24:56.700000	None	
pqr	725008629190623262	Yeah especially with only one town night role	2020-06-23 15:25:27.208000	None	
pqr	725009561739854924	Yeah I meant peddler because the chancellor is kinda weird to describe and not necessarily town in any case	2020-06-23 15:29:09.545000	None	
pqr	725010246686343297	I feel like they should keep their intentions under their hat so as not to give wolfs ideas	2020-06-23 15:31:52.849000	None	
pqr	725010904256741498	Unless they're a wolf who's winning the game at lylo I don't see a reason to block ever	2020-06-23 15:34:29.626000	None	
pqr	725011065620135959	If they know it's the peddler that person should claim and let the town choose another target	2020-06-23 15:35:08.098000	None	
pqr	725012336670277643	Wolves have an unblockable kill so they can just take them out immediately	2020-06-23 15:40:11.140000	None	
pqr	725012937734881440	Waiting too long for the hound increases the odds they get night killed the old fashioned way and town gets no value from the role	2020-06-23 15:42:34.445000	None	
pqr	725013082094698589	But for the first couple of days the odds of that are unlikely	2020-06-23 15:43:08.863000	None	
pqr	725013680139403284	Mid game is probably best to reveal imo, but it's ultimately the decision of the individual in question (if they even exist? I don't think it's confirmed) so I dunno how much we gain from speculating about it	2020-06-23 15:45:31.448000	None	
pqr	725014230872489984	Boo	2020-06-23 15:47:42.753000	None	
pqr	725014589544071179	I think it's fairly safe to move forward with the assumption of 4 wolves including a rougue and at least one town pr	2020-06-23 15:49:08.267000	None	
pqr	725015033293176982	Ok	2020-06-23 15:50:54.065000	None	
pqr	725038698600726630	It feels a bit gauche to vote for myself as governor but I guess from my perspective i want it to be someone i'm sure is town	2020-06-23 17:24:56.314000	None	
pqr	725039245873643542	Jerry: Random; Ravsenshard: I think because I'm usually killed early?; Mik: hasn't explained	2020-06-23 17:27:06.794000	None	
pqr	725039659641602078	I suppose there might be a case for saving the bulletproof on a prominent town member for later in the game	2020-06-23 17:28:45.444000	None	
pqr	725039687042990121	But that's probably too big brained	2020-06-23 17:28:51.977000	None	
pqr	725039883797921893	I would definitely like to hear an explanation from Mik on his governor vote as i think that's the most interesting for sure	2020-06-23 17:29:38.887000	None	
pqr	725040172374294622	Can't loose if you never sacrifice villagers 🧠	2020-06-23 17:30:47.689000	None	
pqr	725040742023561296	Oh I didn't know about that emoji i should have used that	2020-06-23 17:33:03.504000	None	
pqr	725041152830472364	Actually, that's an interesting question	2020-06-23 17:34:41.448000	None	
pqr	725041217393655889	Also, can the town choose "no governor"	2020-06-23 17:34:56.841000	None	
pqr	725041395638730872	Mod kill 🪓	2020-06-23 17:35:39.338000	None	
pqr	725041681342267442	BVAZ	2020-06-23 17:36:47.455000	None	
pqr	725085293375520868	I don't think random picks particularly benefit either side but given that only one person did it right at the start of the day I don't see it as big issue	2020-06-23 20:30:05.374000	None	
pqr	725085489941577778	I only really skimmed the thread but did mik give an explanation for voting for me for governor yet	2020-06-23 20:30:52.239000	None	
pqr	725086434029207635	I don't have a chancellor pick lined up or anything, would probably do an ~emoji poll~ since there's not a huge amount to go on yet and it provides discussion	2020-06-23 20:34:37.327000	None	
pqr	725086533220171857	Or pick someone with a lot of votes for governor	2020-06-23 20:35:00.976000	None	
pqr	725087053565394976	I don't think this is political enough to worry about concessions to voting blocks	2020-06-23 20:37:05.036000	None	
pqr	725088046231453817	Sure, I'll comit to an emoji poll since people seem to like the idea	2020-06-23 20:41:01.706000	None	
pqr	725088454047826053	The main point against is that it would distract from scum hunting but it's day 1 so we're not overburdened with leads	2020-06-23 20:42:38.937000	None	
pqr	725089790713790474	Sure later in the game I would expect governors to pick chancellors by other means, but at this stage of the game theres not much information to make picks with	2020-06-23 20:47:57.623000	None	
pqr	725091757703954473	If only there was someone to pin this poll...	2020-06-23 20:55:46.590000	None	
pqr	725117865489072209	While I hate to talk about anything other than Sharur, earlier someone asked Will why they want to be governor and I'm going to bed soon so I guess I'll give my end first. |newline| While fircoal's point about the governor role being better for scum later in the game is valid, it doesn't mean we don't want town to be governor whenever possible. Since I've picked up the most votes so far and I'm the only person I know for sure is town I think it follows for me to go for it |newline| Plus I died day 1 last game and I'd like to play more this time	2020-06-23 22:39:31.171000	None	
pqr	725118628734959637	I believe fircoal's point is that wolves wouldn't risk pushing for governor strongly day 1 and would try later when it's more impactful	2020-06-23 22:42:33.143000	None	
pqr	725119294874321008	It might be a good way to get trust built up early though, especially because no one is really expecting anything much day 1	2020-06-23 22:45:11.963000	None	
pqr	725119451606810697	Though will is reading townish for me and no one else is really pushing for it	2020-06-23 22:45:49.331000	None	
pqr	725120929092599871	Town has incentives to pick new people for government roles in order to maximize protection which makes me think wolves will likely pick it up at some point if they wait it out	2020-06-23 22:51:41.591000	None	
pqr	725121054556553397	We can no-govenor vote which I would think is correct in lylo in most cases	2020-06-23 22:52:11.504000	None	
pqr	725121511496876093	The threat in lylo would be a quick hammer when the previous days governor hasn't expired yet	2020-06-23 22:54:00.447000	None	
pqr	725121551514468462	Or acting chancellor	2020-06-23 22:54:09.988000	None	
pqr	725121622805184593	Wolves could quick hammer themselves to win	2020-06-23 22:54:26.985000	None	
pqr	725122025496248429	If a wolf was chancellor in the first half of the day (before election), and one got voted, they could all vote for themselves, pardon, and end the day with a win	2020-06-23 22:56:02.994000	None	
pqr	725122110346887178	*Vote for that wolf	2020-06-23 22:56:23.224000	None	
pqr	725122358603546684	This would happen with the previous days governor still being in power if town moves to fast to lynch	2020-06-23 22:57:22.413000	None	
pqr	725122525004038155	Anyway it's pretty marginal but worth being aware that in those situations you want to get governor sorted before you start to vote	2020-06-23 22:58:02.086000	None	
pqr	725122869365047328	I'm going to head off to bed now, look forward to reading 10,000 posts tommorow morning	2020-06-23 22:59:24.188000	None	
pqr	725262056982577297	There's actually not a huge amount from last night surprisingly enough	2020-06-24 08:12:29.102000	None	
pqr	725262496985776169	Raven cased coty here: https://discord.com/channels/212660788786102272/720674005807267881/725162134522298418 |newline| For those that missed it	2020-06-24 08:14:14.007000	None	
pqr	725262899626639393	There was some discussion around rules, essentially that governor vote can be hammered	2020-06-24 08:15:50.004000	None	
pqr	725356809690546288	Huh I thought it was at half past. Anyway I've been pretty busy with work stuff today so I'll post some polls and things when I finish up in about 90 minutes	2020-06-24 14:28:59.908000	None	
pqr	725357014611656774	I can confirm I am not a werewolf, rougue, or any other kind of creature of the night	2020-06-24 14:29:48.765000	None	
pqr	725357104172367872	Rip	2020-06-24 14:30:10.118000	None	
pqr	725357994887479356	Right now we've got a number of votes spread to lynch spread around, I guess it makes sense to use that as a starting point. I'd suggest that one person for each writes (or links to) a summary of the case and we can discuss from there	2020-06-24 14:33:42.481000	None	
pqr	725358074818330665	Or if someone wants to do the same for someone new that's ok too	2020-06-24 14:34:01.538000	None	
pqr	725358237960110121	Chancellor will just be an emoji poll so the town can decide, since I don't have much to base a decision on	2020-06-24 14:34:40.434000	None	
pqr	725358712948129862	Thanknyou for saving me 4 minutes	2020-06-24 14:36:33.680000	None	
pqr	725358845291135017	It can be hammered, this was discussed earlier	2020-06-24 14:37:05.233000	None	
pqr	725359483647295562	Test	2020-06-24 14:39:37.429000	None	
pqr	725359508913913898		2020-06-24 14:39:43.453000	None	
pqr	725360061307945050	Hi folks I'm going back to work in a couple of minutes, see above for my general plans https://discord.com/channels/212660788786102272/720674005807267881/725357994887479356	2020-06-24 14:41:55.154000	None	
pqr	725360155180662806	I'll post the chancellor poll when I finish up in about 90 minutes	2020-06-24 14:42:17.535000	None	
pqr	725384667901198476	I don't view a long discussion about possible prs as particularly useful given that we don't really have any momentum for a sacrifice at the minute	2020-06-24 16:19:41.823000	None	
pqr	725384881273569320	<@!100627572219449344>  did you say why you were voting for Will? I may have missed the post	2020-06-24 16:20:32.695000	None	,Caetra#5203
pqr	725386082878750812	Is the maths incorrect or just the idea of using maths to make that point?	2020-06-24 16:25:19.180000	None	
pqr	725386750108762132	This was in defence of saying that he wouldn't vote for anyone else?	2020-06-24 16:27:58.260000	None	
pqr	725387154540199976	<@!503775238996361226> You put a case on catoftheyear earlier but you're voting for Jerry, why do you think he's more scummy?	2020-06-24 16:29:34.684000	None	,Ravenshard#0976
pqr	725390217032368148	Another person i'd like to hear from is Anders, who I completely forgot was in the game until he popped in to hammer me for governor and suggest I support him in future	2020-06-24 16:41:44.839000	None	
pqr	725391144359428176	What do you think about the case on catoftheyear?	2020-06-24 16:45:25.931000	None	
pqr	725391152684990556	https://discordapp.com/channels/212660788786102272/720674005807267881/725162134522298418	2020-06-24 16:45:27.916000	None	
pqr	725391743393988668	Sure, if you have the link handy that would be great	2020-06-24 16:47:48.752000	None	
pqr	725392588479398019	I strongly disagree that people should refuse to say who they find suspicious, that's the only way that town can make any progress	2020-06-24 16:51:10.236000	None	
pqr	725393223807271005	I'm also interested in why Anders seems to agree with the idea	2020-06-24 16:53:41.710000	None	
pqr	725393248457064449	He's played a few games here now	2020-06-24 16:53:47.587000	None	
pqr	725393866366124123	I mean there's no guarantee that wolfs are going to play perfectly and there's no reason to assume they won't make mistakes	2020-06-24 16:56:14.908000	None	
pqr	725395809725710415	At this point I'm inclined to think that coty is just posting from inexperience as he says, thought that's not a strong read	2020-06-24 17:03:58.241000	None	
pqr	725395880546664469	Right now I'm feeling more suspicious of Anders supporting the idea	2020-06-24 17:04:15.126000	None	
pqr	725396148306575371	"I am inexperienced and may be wrong, but I think on day 1, wolves are unlikely to do anything highly suspicious. There is no need, it would be bad play. So we have mostly noise, and if people are forced into reading tealeaves and saying who they find suspicious, we get a vicious circle where villagers on day 2 find each other suspicious because of their incorrect suscpicions that they were forced to make public on day 1"	2020-06-24 17:05:18.965000	None	
pqr	725396163607658497	This reads like support to me	2020-06-24 17:05:22.613000	None	
pqr	725396555586207794	Also trying to move the discussion on from this to technical discussion (sac timetable) is not good either imo	2020-06-24 17:06:56.068000	None	
pqr	725396655221899264	Given I think it's clear to interpret you had supported the idea under criticism	2020-06-24 17:07:19.823000	None	
pqr	725397795263086684	You may have tried to walk it back after, but to me the post I quoted earlier seems supportive of the idea	2020-06-24 17:11:51.630000	None	
pqr	725397840288940052	And I think others will agree	2020-06-24 17:12:02.365000	None	
pqr	725398175996969032	Who accused you of that? This is about players posting their suspicions	2020-06-24 17:13:22.404000	None	
pqr	725400249337905246	Sure, I put together an emoji poll but didn't want to interrupt the discussion around sacs	2020-06-24 17:21:36.727000	None	
pqr	725400348444983336	But I'm open to listening to other suggestions if people have them	2020-06-24 17:22:00.356000	None	
pqr	725400934951157930	Sure, I can see the logic. But if wolfs co-ordinate on the poll that something people can potentially pick up on, now or later	2020-06-24 17:24:20.190000	None	
pqr	725401042623266847	Maybe too difficult to go back and spot that though	2020-06-24 17:24:45.861000	None	
pqr	725401964103598091	The issue is I don't have a whole lot of strong town reads atm :p	2020-06-24 17:28:25.559000	None	
pqr	725402371693477918	The main idea of the emoji poll was to drive discussion, but people have put together a few cases on people so hopefully there's enough to keep people talking	2020-06-24 17:30:02.736000	None	
